Round-trip execution cost, bp of leg-A notional
MINIMAX/MINIMAXHKD     1,000     95.0       67.2    -27.8    0.71x
                       5,000    115.7       85.7    -29.9    0.74x
                      25,000    143.8      145.3     +1.5    1.01x

==================================================================
     SIZE    n       median cost ratio (CLOSED / RTH)
------------------------------------------------------------------
    1,000   27                                  0.95x
    5,000   27                                  0.94x
   25,000   25                                  0.97x
  100,000   23                                  0.92x
  250,000   18                                  0.89x

Overall median across 120 pair-size combinations: 0.93x

Caveat: two snapshots, not two distributions. This says what the book looked like
at one open moment and one closed moment - it is directional evidence, not a
measured cost premium. recorder.py is accumulating the series that would
support a real distribution.
